lastName	yearOfBirth	yearOfDeath	fullName	job	location	yearPostingStart	yearPostingEnd	notes
DALY	1931		DALY, MICHAEL F., C.M.G.	Ambassador	Costa Rica and Nicaragua	1986	1989	
DALY	1931		DALY, MICHAEL F., C.M.G.	Ambassador	Bolivia	1989	1991	
DANIEL	1953		DANIEL, HAMISH ST. CLAIR, C.M.G., O.B.E.	Ambassador	East Timor	2002	2003	
DANIEL	1953		DANIEL, HAMISH ST. CLAIR, C.M.G., O.B.E.	Deputy High Commissioner	Pakistan	2004	2008	
DANIELL	1915	2007	DANIELL, RALPH A., C.B.E.	Commercial Counsellor	U.S.A.	1958	1959	
DANIELL	1915	2007	DANIELL, RALPH A., C.B.E.	Commercial Counsellor	Egypt	1962	1967	
DANIELL	1915	2007	DANIELL, RALPH A., C.B.E.	Deputy High Commissioner	New Zealand	1967	1972	
DANIELL	1915	2007	DANIELL, RALPH A., C.B.E.	Consul-General	Chicago	1972	1974	
DARBY	1953		DARBY, JANE	Counsellor and Deputy Head of Mission	Netherlands	2002		
DARKE	1953		DARKE, J.M. JAMIE	Counsellor and Deputy Head of Mission	Portugal	2003	2006	
DARLING	1942		DARLING, SUSAN	Consul-General	Australia	1987	1988	
D’ARNAUD-TAYLOR	1916		D’ARNAUD-TAYLOR, GILBERT, O.B.E.	Consul-General Brisbane	Australia	1974	1976	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	Head of Eastern Adriatic Unit/Department		1995	1996	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	Counsellor (External Affairs)	U.K. Permanent Representation to the European Union	1997	1998	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	Head of News Department	Foreign and Commonwealth Office	1998	2000	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	Director, European Union, Foreign and Commonwealth Office		2000	2003	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	Director-General, European Union, Foreign and Commonwealth Office		2003	2004	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	Head of European Secretariat	Cabinet Office	2004	2007	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	Permanent Representative	European Union	2007	2012	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	National Security Adviser	Prime Minister	2012	2015	
DARROCH	1954		DARROCH, SIR N. KIM, K.C.M.G.	Ambassador	United States of America	2016		
DART	1964		DART, JONATHAN, M.V.O.	Consul-General	Toronto	2009	2014	
DARWIN	1929	1992	DARWIN, HENRY G, C.M.G.	Deputy Legal Adviser	Foreign and Commonwealth Office	1976	1984	
DARWIN	1929	1992	DARWIN, HENRY G, C.M.G.	Second Legal Adviser	Foreign and Commonwealth Office	1984	1989	
DASHWOOD	1833	1905	DASHWOOD, JAMES E.B.	Senior Clerk, Turkish Department, Foreign Office		1872	1877	
DASHWOOD	1833	1905	DASHWOOD, JAMES E.B.	Senior Clerk, Spanish Department, Foreign Office		1877	1881	
DAUKES	1879	1948	DAUKES, Lieutenant-Colonel SIR CLENDON T., C.I.E.	Minister	Nepal	1929	1935	
DAUNT	1935		DAUNT, SIR TIMOTHY L.A., K.C.M.G.	Counsellor	U.K. Delegation the O.E.C.D.	1975	1978	
DAUNT	1935		DAUNT, SIR TIMOTHY L.A., K.C.M.G.	Head of South European Department	Foreign and Commonwealth Office	1978	1981	
DAUNT	1935		DAUNT, SIR TIMOTHY L.A., K.C.M.G.	Deputy Permanent Representative	N.A.T.O.	1982	1985	
DAUNT	1935		DAUNT, SIR TIMOTHY L.A., K.C.M.G.	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Defence)		1985	1986	
DAUNT	1935		DAUNT, SIR TIMOTHY L.A., K.C.M.G.	Ambassador	Turkey	1986	1992	
DAUNT	1935		DAUNT, SIR TIMOTHY L.A., K.C.M.G.	Deputy Under-Secretary for Foreign and Commonwealth Affairs (Defence)		1992	1995	
DAUNT	1935		DAUNT, SIR TIMOTHY L.A., K.C.M.G.	Lieutenant-Governor	the Isle of Man	1995	2000	
DAURIS	1966		DAURIS, JAMES E.	Ambassador	Peru	2010	2014	
DAURIS	1966		DAURIS, JAMES E.	High Commissioner	Sri Lanka and the Maldives	2015		
DAVENPORT	1961		DAVENPORT, MICHAEL H., M.B.E.	Commercial Counsellor	Poland	2000	2003	
DAVENPORT	1961		DAVENPORT, MICHAEL H., M.B.E.	Counsellor and Deputy Head of Mission	Egypt	2004	2007	
DAVENPORT	1961		DAVENPORT, MICHAEL H., M.B.E.	Director, Russia, Central Asia and South Caucasus, Foreign and Commonwealth Office		2007	2010	
DAVENPORT	1961		DAVENPORT, MICHAEL H., M.B.E.	Ambassador	Serbia	2010	2013	
DAVENPORT	1961		DAVENPORT, MICHAEL H., M.B.E.	Ambassador	Kuwait	2017		
DAVEY	1911		DAVEY, GEORGE	Deputy High Commissioner	Pakistan	1955	1958	
DAVEY	1911		DAVEY, GEORGE	Head of Colombo Plan, Department, Commonwealth Relations Office		1958	1959	
DAVID	1947	2014	DAVID, TIMOTHY J.	Head of Narcotics Control and Aids Department	Foreign and Commonwealth Office	1989	1991	
DAVID	1947	2014	DAVID, TIMOTHY J.	Ambassador	Fiji	1992	1995	
DAVID	1947	2014	DAVID, TIMOTHY J.	Deputy High Commissioner	Zimbabwe	1996	1998	
DAVID	1947	2014	DAVID, TIMOTHY J.	High Commissioner	Belize	1998	2001	
DAVID	1947	2014	DAVID, TIMOTHY J.	High Commissioner	Zambia	2002	2005	
DAVIDSON	1924	2003	DAVIDSON, ALAN E., C.M.G.	Head of Central Department	Foreign Office	1966	1968	
DAVIDSON	1924	2003	DAVIDSON, ALAN E., C.M.G.	Counsellor and Head of Chancery	U.K. Delegation to N.A.T.O.	1968	1971	
DAVIDSON	1924	2003	DAVIDSON, ALAN E., C.M.G.	Head of Defence Department	Foreign and Commonwealth Office	1972	1973	
DAVIDSON	1924	2003	DAVIDSON, ALAN E., C.M.G.	Ambassador	Laos	1973	1975	
DAVIDSON	1964		DAVIDSON, BRIAN J.	Consul-General	Shanghai	2011	2015	
DAVIDSON	1964		DAVIDSON, BRIAN J.	Ambassador	Thailand	2016		
DAVIDSON	1964		DAVIDSON, CAROLYN J.	Joint High Commissioner	Zambia	2008	2012	
DAVIDSON	1964		DAVIDSON, CAROLYN J.	Ambassador	Honduras	2015	2017	
DAVIDSON	1964		DAVIDSON, CAROLYN J.	Ambassador	Guatemala	2017		
DAVIDSON	1922	2004	DAVIDSON, JAMES A., O.B.E.	Deputy High Commissioner	Bangladesh	1972	1973	
DAVIDSON	1922	2004	DAVIDSON, JAMES A., O.B.E.	High Commissioner	Brunei	1974	1978	
DAVIDSON	1922	2004	DAVIDSON, JAMES A., O.B.E.	Governor	the British Virgin Islands	1978	1981	
DAVIDSON	1888	1973	DAVIDSON, JOHN W.O., C.M.G., O.B.E.	Head of Prisoners of War Department	Foreign Office	1945	1946	
DAVIDSON	1888	1973	DAVIDSON, JOHN W.O., C.M.G., O.B.E.	Head of Consular Department	Foreign Office	1946	1948	
DAVIDSON	1859	1923	DAVIDSON, SIR W. EDWARD, K.C.M.G., C.B., K.C.	Legal Adviser	Foreign Office	1886	1918	
DAVIES	1940		DAVIES, DAVID G.	Deputy High Commissioner	Malawi	1991	1994	
DAVIES	1934		DAVIES, EMRYS T., C.M.G.	Commercial Counsellor	China	1976	1978	
DAVIES	1934		DAVIES, EMRYS T., C.M.G.	Deputy High Commissioner	Canada	1979	1982	
DAVIES	1934		DAVIES, EMRYS T., C.M.G.	Inspector		1982	1984	
DAVIES	1934		DAVIES, EMRYS T., C.M.G.	Deputy Permanent Representative	O.E.C.D.	1984	1987	
DAVIES	1934		DAVIES, EMRYS T., C.M.G.	Ambassador	Vietnam	1987	1990	
DAVIES	1934		DAVIES, EMRYS T., C.M.G.	High Commissioner	Barbados	1991	1994	
DAVIES	1915		DAVIES, HAROLD E.	Head of Development Department	Commonwealth Relations Office	1952	1954	
DAVIES	1915		DAVIES, HAROLD E.	Counsellor	India	1954	1956	
DAVIES	1915		DAVIES, HAROLD E.	Head of Economic Relations I Department	Commonwealth Relations Office	1956	1958	
DAVIES	1915		DAVIES, HAROLD E.	Counsellor	Canada	1958	1961	
DAVIES	1915		DAVIES, HAROLD E.	Head of Economic Relations I Department	Commonwealth Relations Office	1961	1962	
DAVIES	1915		DAVIES, HAROLD E.	Head of Economic Policy Department	Commonwealth Relations Office	1962	1963	
DAVIES	1915		DAVIES, HAROLD E.	Head of Financial Policy Department	Commonwealth Relations Office	1963	1963	
DAVIES	1941		DAVIES, HUGH L., C.M.G.	Commercial Counsellor	China	1984	1987	
DAVIES	1941		DAVIES, HUGH L., C.M.G.	Deputy Permanent Representative	O.E.C.D.	1987	1990	
DAVIES	1941		DAVIES, HUGH L., C.M.G.	Head of Far Eastern Department	Foreign and Commonwealth Office	1990	1993	
DAVIES	1941		DAVIES, HUGH L., C.M.G.	Senior British Trade Commissioner	Hong Kong	1993	1993	
DAVIES	1941		DAVIES, HUGH L., C.M.G.	Senior Representative, Sino-British Joint Liaison Group, Hong Kong		1993	1997	
DAVIES	1956		DAVIES, IAN	Consul-General	Marseilles	1997	2001	
DAVIES			DAVIES, JONATHAN (JON) A.	Counsellor and Deputy Head of Mission	Egypt	2007	2010	
DAVIES			DAVIES, JONATHAN (JON) A.	Additional Director, Middle East and North Africa, Foreign and Commonwealth Office		2011	2013	
DAVIES			DAVIES, JONATHAN (JON) A.	Director	Diplomatic Academy	2014		
DAVIES			DAVIES, LAURA	Deputy High Commissioner	Sri Lanka	2014		
DAVIES	1968		DAVIES, PATRICK J., O.B.E.	Counsellor and Deputy Head of Mission	Poland	2004	2008	
DAVIES	1968		DAVIES, PATRICK J., O.B.E.	Counsellor and Deputy Head of Mission	Iran	2009	2010	
DAVIES	1968		DAVIES, PATRICK J., O.B.E.	Head of Near East and North Africa Department	Foreign and Commonwealth Office	2010	2012	
DAVIES	1968		DAVIES, PATRICK J., O.B.E.	Counsellor (Foreign and Security Policy), Embassy	U.S.A.	2013	2013	
DAVIES	1968		DAVIES, PATRICK J., O.B.E.	Minister and Deputy Head of Mission	U.S.A.	2013		
DAVIES	1936		DAVIES, PETER D.R., C.M.G.	Commercial Counsellor	Netherlands	1978	1982	
DAVIES	1936		DAVIES, PETER D.R., C.M.G.	Commercial Counsellor	Malaysia	1982	1983	
DAVIES	1936		DAVIES, PETER D.R., C.M.G.	Deputy High Commissioner	Malaysia	1983	1986	
DAVIES	1936		DAVIES, PETER D.R., C.M.G.	Head of Arms Control and Disarmament Department	Foreign and Commonwealth Office	1987	1991	
DAVIES	1936		DAVIES, PETER D.R., C.M.G.	Consul-General	Toronto	1991	1996	
DAVIES	1942		DAVIES, R.H. GLYN	High Commissioner	Namibia	1996	1998	
DAVIES	1942		DAVIES, R.H. GLYN	Ambassador	Panama	1999	2002	
DAVIES	1891	1975	DAVIES, WILLIAM J., C.M.G., O.B.E.	Consul-General	Osaka-Kobe	1941	1941	
DAVIS	1900	1979	DAVIS, ARCHIBALD W.	Consul-General	Basra	1946	1949	
DAVIS	1900	1979	DAVIS, ARCHIBALD W.	Consul-General	Seville	1950	1953	
DAVIS	1873	1938	DAVIS, SIR CHARLES T., G.C.M.G.	Assistant Secretary, Dominions Division, Colonial Office		1916	1921	
DAVIS	1873	1938	DAVIS, SIR CHARLES T., G.C.M.G.	Assistant Under-Secretary for the Colonies (Dominions Division)		1921	1925	
DAVIS	1873	1938	DAVIS, SIR CHARLES T., G.C.M.G.	Permanent Under-Secretary for the Dominions		1925	1930	
DAW	1897	1963	DAW, SYDNEY E.H., C.M.G., C.B.E.	Commercial Counsellor	Austria	1953		
DAWBARN	1923		DAWBARN, SIR SIMON Y., K.C.V.O., C.M.G.	Counsellor and Head of Chancery/Head of British Interests Section	Algeria	1965	1968	
DAWBARN	1923		DAWBARN, SIR SIMON Y., K.C.V.O., C.M.G.	Commercial Counsellor	Greece	1968	1971	
DAWBARN	1923		DAWBARN, SIR SIMON Y., K.C.V.O., C.M.G.	Head of East African Department	Foreign and Commonwealth Office	1971	1973	
DAWBARN	1923		DAWBARN, SIR SIMON Y., K.C.V.O., C.M.G.	Head of West African Department	Foreign and Commonwealth Office and Ambassador to Chad	1973	1975	
DAWBARN	1923		DAWBARN, SIR SIMON Y., K.C.V.O., C.M.G.	Consul-General	Montreal	1975	1978	
DAWBARN	1923		DAWBARN, SIR SIMON Y., K.C.V.O., C.M.G.	Ambassador	Morocco	1978	1982	
DAWKINS			DAWKINS, CLINTON G.	Private Secretary	Foreign Secretary	1841	1846	
DAWKINS	1792	1865	DAWKINS, EDWARD J.	Secretary of Legation	Tuscany	1816	1823	
DAWKINS	1792	1865	DAWKINS, EDWARD J.	Minister	Greece	1833	1835	
DAY	1927	2015	DAY, SIR DEREK M., K.C.M.G.	Head of Personnel Operations Department	Foreign and Commonwealth Office	1969	1972	
DAY	1927	2015	DAY, SIR DEREK M., K.C.M.G.	Counsellor	Cyprus	1972	1975	
DAY	1927	2015	DAY, SIR DEREK M., K.C.M.G.	Ambassador	Ethiopia	1975	1978	
DAY	1927	2015	DAY, SIR DEREK M., K.C.M.G.	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Africa/Southern Africa and Rhodesia)		1978	1980	
DAY	1927	2015	DAY, SIR DEREK M., K.C.M.G.	Deputy Under-Secretary for Foreign and Commonwealth Affairs (Africa and the Americas), 1980-1982, and Chief Clerk		1982	1984	
DAY	1927	2015	DAY, SIR DEREK M., K.C.M.G.				1987	
DAY	1965		DAY, MARTIN C.	Counsellor and Deputy Head of Mission	Ukraine	2012		
DAY	1938		DAY, STEPHEN P., C.M.G.	Counsellor, Embassy	Lebanon	1977	1978	
DAY	1938		DAY, STEPHEN P., C.M.G.	Consul-General	Edmonton	1979	1981	
DAY	1938		DAY, STEPHEN P., C.M.G.	Ambassador	Qatar	1981	1984	
DAY	1938		DAY, STEPHEN P., C.M.G.	Head of Middle East Department	Foreign and Commonwealth Office	1984	1987	
DAY	1938		DAY, STEPHEN P., C.M.G.	Ambassador	Tunisia	1987	1992	
DAY	1938		DAY, STEPHEN P., C.M.G.	Senior British Trade Commissioner	Hong Kong	1992	1993	
DEAN	1927		DEAN, C. ROY	Deputy High Commissioner	Ghana	1983	1986	
DEAN	1909	1994	DEAN, SIR PATRICK H., G.C.M.G.	Head of the German Political Department	Foreign Office	1946	1949	
DEAN	1909	1994	DEAN, SIR PATRICK H., G.C.M.G.	Counsellor, Embassy	Italy	1949	1950	
DEAN	1909	1994	DEAN, SIR PATRICK H., G.C.M.G.	Minister	Italy	1950	1952	
DEAN	1909	1994	DEAN, SIR PATRICK H., G.C.M.G.	Senior Civilian Instructor	Imperial Defence College	1952	1953	
DEAN	1909	1994	DEAN, SIR PATRICK H., G.C.M.G.	Assistant Under-Secretary for Foreign Affairs (Defence and Intelligence)		1953	1956	
DEAN	1909	1994	DEAN, SIR PATRICK H., G.C.M.G.	Deputy Under-Secretary for Foreign Affairs (Defence)		1956	1960	
DEAN	1909	1994	DEAN, SIR PATRICK H., G.C.M.G.	Permanent Representative to the United Nations Organization	New York	1960	1964	
DEAN	1909	1994	DEAN, SIR PATRICK H., G.C.M.G.	Ambassador	U.S.A.	1965	1969	
DEAN			DEAN, VICTORIA G.	Assistant Director, European Union (Internal), Foreign and Commonwealth Office		2011	2013	
DEAN			DEAN, VICTORIA G.	High Commissioner	Barbados	2013	2017	
DEANE	1962		DEANE, ROBERT E.	Minister, Embassy	Rome	2009	2011	
DEANE	1962		DEANE, ROBERT E.	Counsellor and Deputy Head of Mission	Iraq	2012	2013	
DEAR	1955		DEAR, ROBERT E.	Deputy Head of Mission	Cuba	1994	1997	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Secretary of Legation	Japan	1891	1894	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Charge d’Affaires	Siam	1894	1896	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Secretary of Embassy	U.S.A.	1896	1897	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Secretary of Embassy	Turkey	1897	1902	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Minister, Embassy	France	1902	1905	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Minister	Portugal	1905	1906	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Ambassador	Spain	1906	1913	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Ambassador	Austria-Hungary	1913	1914	
de BUNSEN	1852	1932	de BUNSEN, Rt. Hon. SIR MAURICE W.W., Bt., G.C.M.G., G.C.V.O., C.B.	Acting Assistant Under-Secretary for Foreign Affairs		1915	1919	
de BURLET	1921		de BURLET, ROBERT P.	Deputy High Commissioner	Barbados	1974	1977	
de CHASSIRON	1948		de CHASSIRON, CHARLES R.L., C.V.O.	Head of South America Department	Foreign and Commonwealth Office	1987	1989	
de CHASSIRON	1948		de CHASSIRON, CHARLES R.L., C.V.O.	Commercial and Economic Counsellor	Italy	1989	1994	
de CHASSIRON	1948		de CHASSIRON, CHARLES R.L., C.V.O.	Ambassador	Estonia	1994	1997	
de CHASSIRON	1948		de CHASSIRON, CHARLES R.L., C.V.O.	Consul-General	Milan	1997	2001	
de CHASSIRON	1948		de CHASSIRON, CHARLES R.L., C.V.O.	Vice-Marshal of the Diplomatic Corps and Head of Protocol Department	Foreign and Commonwealth Office	2002	2006	
de COURCY-IRELAND	1933		de COURCY-IRELAND, PATRICK G., C.V.O.	Head of Training Department	Foreign and Commonwealth Office	1976	1980	
de COURCY-IRELAND	1933		de COURCY-IRELAND, PATRICK G., C.V.O.	Consul-General	Casablanca	1980	1984	
de COURCY-IRELAND	1933		de COURCY-IRELAND, PATRICK G., C.V.O.	Consul-General	Jerusalem	1984	1987	
de COURCY LING	1933	2005	de COURCY LING, JOHN	Counsellor (Information), Embassy	France	1974	1977	
de COURCY-PERRY	1836	1903	de COURCY-PERRY, SIR GERALD R., C.M.G.	Consul-General	Rio de Janeiro	1888	1888	(did not proceed)
de COURCY-PERRY	1836	1903	de COURCY-PERRY, SIR GERALD R., C.M.G.	Consul-General	Antwerp	1888	1903	
de FONBLANQUE	1943		de FONBLANQUE, JOHN R., C.M.G.	Counsellor and Head of Chancery	Chancery, High Commission, India	1986	1988	
de FONBLANQUE	1943		de FONBLANQUE, JOHN R., C.M.G.	Counsellor (Political)	U.K. Permanent Representation to the European Community	1988	1992	
de FONBLANQUE	1943		de FONBLANQUE, JOHN R., C.M.G.	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Economic, Transport and Energy/Director, International Organizations)		1994		
de FONBLANQUE	1943		de FONBLANQUE, JOHN R., C.M.G.	Director, Global Issues, Foreign and Commonwealth Office			1998	
de FONBLANQUE	1943		de FONBLANQUE, JOHN R., C.M.G.	Director, Europe, Foreign and Commonwealth Office		1998	1999	
de FONBLANQUE	1943		de FONBLANQUE, JOHN R., C.M.G.	Head of U.K. Delegation	Organization for Security and Co-operation in Europe	1999	2003	
de FREITAS	1913	1982	de FREITAS, SIR GEOFFREY S., K.C.M.G.	High Commissioner	Ghana	1961	1963	
de FREITAS	1913	1982	de FREITAS, SIR GEOFFREY S., K.C.M.G.	High Commissioner	Kenya	1963	1964	
de la MARE	1914	1994	de la MARE, SIR ARTHUR J., K.C.M.G., K.C.V.O.	Head of Security Department	Foreign Office	1953	1956	
de la MARE	1914	1994	de la MARE, SIR ARTHUR J., K.C.M.G., K.C.V.O.	Counsellor, Embassy	U.S.A.	1956	1960	
de la MARE	1914	1994	de la MARE, SIR ARTHUR J., K.C.M.G., K.C.V.O.	Head of Far East Department	Foreign Office	1960	1963	
de la MARE	1914	1994	de la MARE, SIR ARTHUR J., K.C.M.G., K.C.V.O.	Ambassador	Afghanistan	1963	1965	
de la MARE	1914	1994	de la MARE, SIR ARTHUR J., K.C.M.G., K.C.V.O.	Assistant Under-Secretary for Foreign Affairs (Asia)		1965	1967	
de la MARE	1914	1994	de la MARE, SIR ARTHUR J., K.C.M.G., K.C.V.O.	High Commissioner	Singapore	1968	1970	
de la MARE	1914	1994	de la MARE, SIR ARTHUR J., K.C.M.G., K.C.V.O.	Ambassador	Thailand	1970	1973	
DENING	1897	1977	DENING, SIR M. ESLER, G.C.M.G., O.B.E.	Assistant Under-Secretary for Foreign Affairs (Asia/Far East)		1946	1950	
DENING	1897	1977	DENING, SIR M. ESLER, G.C.M.G., O.B.E.	Political Representative/Ambassador	Japan	1951	1957	
DENNE	1945	2015	DENNE, CHRISTOPHER J.A., C.M.G.	Head of Consular Department	Foreign and Commonwealth Office	1989	1993	
DENNE	1945	2015	DENNE, CHRISTOPHER J.A., C.M.G.	Counsellor and Deputy Head of Mission	Greece	1993	1997	
DENNIS	1959		DENNIS, JOHN D.	Economic and Commercial Counsellor	India	2001	2003	
DENNIS	1959		DENNIS, JOHN D.	Minister	China	2003	2006	
DENNIS	1959		DENNIS, JOHN D.	Director, South Asia, Foreign and Commonwealth Office		2006	2008	
DENNIS	1959		DENNIS, JOHN D.	Head of Central and Southern Africa/Southern, Central and Western Africa Department, Foreign and Commonwealth Office		2010	2014	
DENNIS	1959		DENNIS, JOHN D.	Ambassador	Angola	2014	2018	
DENNY	1955		DENNY, ROSS P.	Ambassador	Bolivia	2011	2015	
DENNY	1955		DENNY, ROSS P.	Ambassador	Costa Rica and Nicaragua	2015		
DENSON	1926	1992	DENSON, JOHN B., C.M.G., O.B.E.	Charge d’Affaires	China	1969	1971	
DENSON	1926	1992	DENSON, JOHN B., C.M.G., O.B.E.	Counsellor, Embassy	Greece	1973	1977	
DENSON	1926	1992	DENSON, JOHN B., C.M.G., O.B.E.	Ambassador	Nepal	1977	1983	
DENTON-THOMPSON	1888	1969	DENTON-THOMPSON, MERRICK A.B.	Consul-General	Amsterdam	1935	1938	
DENTON-THOMPSON	1888	1969	DENTON-THOMPSON, MERRICK A.B.	Consul-General	Sao Paulo	1944	1945	
DENTON-THOMPSON	1888	1969	DENTON-THOMPSON, MERRICK A.B.	Consul-General	Amsterdam	1945	1948	
DENYS-BURTON	1849	1922	DENYS-BURTON, SIR FRANCIS C.E., Bt.	Secretary of Legation	Mexico	1887	1890	
DENYS-BURTON	1849	1922	DENYS-BURTON, SIR FRANCIS C.E., Bt.	Secretary of Legation	Denmark	1890	1895	
DERBY	1865	1948	DERBY, Rt. Hon. EDWARD, 17th EARL OF, K.G., G.C.B., G.C.V.O., T.D.	Ambassador	France	1918	1920	
DERING	1839	1906	DERING, SIR HENRY N., Bt., K.C.M.G., C.B.	Secretary of Legation	Argentina	1882	1883	
DERING	1839	1906	DERING, SIR HENRY N., Bt., K.C.M.G., C.B.	Secretary of Legation	Sweden	1883	1883	(did not proceed)
DERING	1839	1906	DERING, SIR HENRY N., Bt., K.C.M.G., C.B.	Charge d’Affaires	Saxe-Coburg	1883	1886	
DERING	1839	1906	DERING, SIR HENRY N., Bt., K.C.M.G., C.B.	Secretary of Embassy	Russia	1886	1888	
DERING	1839	1906	DERING, SIR HENRY N., Bt., K.C.M.G., C.B.	Secretary of Embassy	Italy	1888	1892	
DERING	1839	1906	DERING, SIR HENRY N., Bt., K.C.M.G., C.B.	Agent and Consul-General	Bulgaria	1892	1894	
DERING	1839	1906	DERING, SIR HENRY N., Bt., K.C.M.G., C.B.	Minister	Mexico	1894	1900	
DERING	1839	1906	DERING, SIR HENRY N., Bt., K.C.M.G., C.B.	Minister	Brazil	1900	1906	
DERING	1867	1933	DERING, SIR HERBERT G., K.C.M.G., K.C.I.E., M.V.O.	Secretary of Legation	Sweden	1905	1909	
DERING	1867	1933	DERING, SIR HERBERT G., K.C.M.G., K.C.I.E., M.V.O.	Secretary of Embassy	Italy	1911	1915	
DERING	1867	1933	DERING, SIR HERBERT G., K.C.M.G., K.C.I.E., M.V.O.	Minister	Siam	1915	1919	
DERING	1867	1933	DERING, SIR HERBERT G., K.C.M.G., K.C.I.E., M.V.O.	High Commissioner	Bulgaria	1919	1920	
DERING	1867	1933	DERING, SIR HERBERT G., K.C.M.G., K.C.I.E., M.V.O.	Minister	Romania	1920	1926	
DE SALIS	1864	1939	DE SALIS, SIR JOHN F.C., K.C.M.G., C.V.O., COUNT DE SALIS	Secretary of Embassy (Counsellor)	Germany	1906	1911	
DE SALIS	1864	1939	DE SALIS, SIR JOHN F.C., K.C.M.G., C.V.O., COUNT DE SALIS	Minister	Montenegro	1911	1916	
DE SALIS	1864	1939	DE SALIS, SIR JOHN F.C., K.C.M.G., C.V.O., COUNT DE SALIS	Minister	Holy See	1916	1922	
De SOUSA	1968		De SOUSA, LOUISE A.	Deputy High Commissioner	Kenya	2007	2011	
De SOUSA	1968		De SOUSA, LOUISE A.	Head of Human Rights, Democracy and Good Governance Department, Foreign and Commonwealth Office		2011	2014	
De SOUSA	1968		De SOUSA, LOUISE A.	Head of Europe-Mediterranean Department	Foreign and Commonwealth Office	2014	2016	
De SOUSA	1968		De SOUSA, LOUISE A.	Ambassador	Tunisia	2016		
DES GRAZ	1860	1940	DES GRAZ, SIR CHARLES L., K.C.M.G.	Secretary of Legation	Persia	1901	1903	
DES GRAZ	1860	1940	DES GRAZ, SIR CHARLES L., K.C.M.G.	Secretary of Legation	Greece	1903	1905	
DES GRAZ	1860	1940	DES GRAZ, SIR CHARLES L., K.C.M.G.	Secretary of Embassy (Counsellor), Italy, 1905-1908 and Charge d’Affaires, Montenegro		1906	1908	
DES GRAZ	1860	1940	DES GRAZ, SIR CHARLES L., K.C.M.G.	Minister to Peru	Ecuador and Bolivia	1908	1914	
DES GRAZ	1860	1940	DES GRAZ, SIR CHARLES L., K.C.M.G.	Minister	Serbia	1914	1920	
DEW	1952		DEW, JOHN A.	Counsellor and Deputy Head of Mission	Ireland	1992	1996	
DEW	1952		DEW, JOHN A.	Minister	Spain	1996	2000	
DEW	1952		DEW, JOHN A.	Head of Latin America and Caribbean Department	Foreign and Commonwealth Office	2000	2003	
DEW	1952		DEW, JOHN A.	Ambassador	Cuba	2004	2008	
DEW	1952		DEW, JOHN A.	Ambassador	Colombia	2008	2012	
DEWAR	1949		DEWAR, ROBERT S., C.M.G.	Deputy High Commissioner	Zimbabwe	1992	1996	
DEWAR	1949		DEWAR, ROBERT S., C.M.G.	Ambassador	Madagascar	1996	1999	
DEWAR	1949		DEWAR, ROBERT S., C.M.G.	High Commissioner	Mozambique	2000	2003	
DEWAR	1949		DEWAR, ROBERT S., C.M.G.	Ambassador	Ethiopia	2004	2007	
DEWAR	1949		DEWAR, ROBERT S., C.M.G.	High Commissioner	Nigeria	2007	2011	
DEWBERRY	1941		DEWBERRY, DAVID A.	Deputy High Commissioner	Tanzania	1987	1991	
DHOLAKIA			DHOLAKIA, DANAE	Head of Central and Southern Africa Department	Foreign and Commonwealth Office	2014	2016	
DHOLAKIA			DHOLAKIA, DANAE	Minister Counsellor, Prosperity, China		2018		
DIBBEN	1943		DIBBEN, MICHAEL A.C.	Ambassador	Paraguay	1991	1995	
DIBBEN	1943		DIBBEN, MICHAEL A.C.	High Commissioner	Fiji	1997	2000	
