lastName	yearOfBirth	yearOfDeath	fullName	job	location	yearPostingStart	yearPostingEnd	notes
ADAMS	1884	1955	ADAMS, ALEXANDER A., C.B.E.	Commercial Counsellor	Turkey	1941	1941	
ADAMS	1939	1996	ADAMS, C. CHRISTIAN W., C.M.G.	Senior Trade Commissioner	Hong Kong	1982	1985	
ADAMS	1939	1996	ADAMS, C. CHRISTIAN W., C.M.G.	Head of South-East Asia Department	Foreign and Commonwealth Office	1986	1988	
ADAMS	1939	1996	ADAMS, C. CHRISTIAN W., C.M.G.	Ambassador	Thailand	1992	1996	
ADAMS	1825	1889	ADAMS, SIR FRANCIS O., K.C.M.G., C.B.	Secretary of Legation	Japan	1868	1872	
ADAMS	1825	1889	ADAMS, SIR FRANCIS O., K.C.M.G., C.B.	Secretary of Embassy	Germany	1872	1874	
ADAMS	1825	1889	ADAMS, SIR FRANCIS O., K.C.M.G., C.B.	Secretary of Embassy	France	1874	1875	
ADAMS	1825	1889	ADAMS, SIR FRANCIS O., K.C.M.G., C.B.	Minister	France	1875	1881	
ADAMS	1825	1889	ADAMS, SIR FRANCIS O., K.C.M.G., C.B.	Minister	Switzerland	1881	1888	
ADAMS	1957		ADAMS, SIR GEOFFREY D., K.C.M.G.	Counsellor and Deputy Head of Mission	Egypt	1998	2001	
ADAMS	1957		ADAMS, SIR GEOFFREY D., K.C.M.G.	Consul-General	Jerusalem	2001	2003	
ADAMS	1957		ADAMS, SIR GEOFFREY D., K.C.M.G.	Principal Private Secretary	Foreign Secretary	2003	2005	
ADAMS	1957		ADAMS, SIR GEOFFREY D., K.C.M.G.	Ambassador	Iran	2006	2009	
ADAMS	1957		ADAMS, SIR GEOFFREY D., K.C.M.G.	Director-General, Political, Foreign and Commonwealth Office		2009	2012	
ADAMS	1957		ADAMS, SIR GEOFFREY D., K.C.M.G.	Ambassador	Netherlands	2013	2017	
ADAMS	1915	2001	ADAMS, SIR PHILIP G.D., K.C.M.G.	Head of Security Department	Foreign Office	1959	1963	
ADAMS	1915	2001	ADAMS, SIR PHILIP G.D., K.C.M.G.	Consul-General	Chicago	1963	1966	
ADAMS	1915	2001	ADAMS, SIR PHILIP G.D., K.C.M.G.	Ambassador	Jordan	1966	1970	
ADAMS	1915	2001	ADAMS, SIR PHILIP G.D., K.C.M.G.	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Middle East and North Africa)		1970	1970	
ADAMS	1915	2001	ADAMS, SIR PHILIP G.D., K.C.M.G.	Deputy Secretary (Foreign Affairs)	Cabinet Office	1971	1972	
ADAMS	1915	2001	ADAMS, SIR PHILIP G.D., K.C.M.G.	Ambassador	Egypt	1973	1975	
ADAMS	1932		ADAMS, SIR W. JAMES, K.C.M.G.	Head of European Integration (2) Department	Foreign and Commonwealth Office	1971	1972	
ADAMS	1932		ADAMS, SIR W. JAMES, K.C.M.G.	Counsellor	U.K. Delegation to the European Economic Community	1973	1977	
ADAMS	1932		ADAMS, SIR W. JAMES, K.C.M.G.	Economic Counsellor	Italy	1977	1980	
ADAMS	1932		ADAMS, SIR W. JAMES, K.C.M.G.	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Public Departments)		1980	1982	
ADAMS	1932		ADAMS, SIR W. JAMES, K.C.M.G.	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Transport and Energy)		1982	1984	
ADAMS	1932		ADAMS, SIR W. JAMES, K.C.M.G.	Ambassador	Tunisia	1984	1987	
ADAMS	1932		ADAMS, SIR W. JAMES, K.C.M.G.	Ambassador	Egypt	1987	1992	
ADAMS			ADAMS, WILLIAM P. (_-1852)	Secretary of Legation	Colombia	1835	1842	
ADAMS			ADAMS, WILLIAM P. (_-1852)	Charge d’Affaires	Peru	1842	1852	
ADAMSON	1967		ADAMSON, JOANNE, O.B.E.	Deputy Permanent Representative	Disarmament Conference	2009	2011	
ADAMSON	1967		ADAMSON, JOANNE, O.B.E.	Permanent Representative	Diarmament Conference	2011	2013	
ADAMSON	1967		ADAMSON, JOANNE, O.B.E.	Ambassador	Mali	2014	2016	
ADDINGTON	1790	1870	ADDINGTON, Rt. Hon. HENRY U.	Secretary of Legation	Switzerland	1814	1818	
ADDINGTON	1790	1870	ADDINGTON, Rt. Hon. HENRY U.	Secretary of Legation	Denmark	1821	1822	
ADDINGTON	1790	1870	ADDINGTON, Rt. Hon. HENRY U.	Secretary of Legation	U.S.A.	1823	1825	
ADDINGTON	1790	1870	ADDINGTON, Rt. Hon. HENRY U.	Minister	German Confederation	1828	1829	
ADDINGTON	1790	1870	ADDINGTON, Rt. Hon. HENRY U.	Minister	Spain	1829	1833	
ADDINGTON	1790	1870	ADDINGTON, Rt. Hon. HENRY U.	Permanent Under-Secretary for Foreign Affairs		1842	1854	
ADDIS	1914	1983	ADDIS, SIR JOHN M., K.C.M.G.	Counsellor	China	1954	1957	
ADDIS	1914	1983	ADDIS, SIR JOHN M., K.C.M.G.	Head of Southern Department	Foreign Office	1957	1960	
ADDIS	1914	1983	ADDIS, SIR JOHN M., K.C.M.G.	Ambassador	Laos	1960	1962	
ADDIS	1914	1983	ADDIS, SIR JOHN M., K.C.M.G.	Ambassador	Philippines	1963	1970	
ADDIS	1914	1983	ADDIS, SIR JOHN M., K.C.M.G.	Senior Civilian Instructor	Royal College of Defence Studies	1970	1972	
ADDIS	1914	1983	ADDIS, SIR JOHN M., K.C.M.G.	Ambassador	China	1972	1974	
ADDISON	1879	1953	ADDISON, SIR JOSEPH, K.C.M.G.	Commercial Counsellor	France	1918	1920	
ADDISON	1879	1953	ADDISON, SIR JOSEPH, K.C.M.G.	Counsellor, Embassy	Germany	1920	1927	
ADDISON	1879	1953	ADDISON, SIR JOSEPH, K.C.M.G.	Minister to Latvia	Estonia and Lithuania	1928	1930	
ADDISON	1879	1953	ADDISON, SIR JOSEPH, K.C.M.G.	Minister	Czechoslovakia	1930	1936	
ADDISON	1879	1953	ADDISON, SIR JOSEPH, K.C.M.G.	Ambassador	Chile	1936	1936	(did not proceed)
ADDISON	1902	1975	ADDISON, Brigadier LEONARD J.L., C.M.G., C.B.E.	Deputy High Commissioner	India	1949	1952	
AGAR ELLIS			AGAR ELLIS, Hon. GEORGE A.W. (18_-1872)	Secretary of Legation	Greece	1866	1869	
AGAR-ROBARTES	1883	1966	AGAR-ROBARTES, Hon. FRANCIS G., M.V.O. (later 7th VISCOUNT CLIFDEN)	Counsellor, Embassy	Spain	1926	1927	
AHMAD	1956		AHMAD, ASIF A., C.M.G.	Head of Commonwealth Co-ordination Department	Foreign and Commonwealth Office	2002	2004	
AHMAD	1956		AHMAD, ASIF A., C.M.G.	Director, Asia, U.K. Trade and Investment		2004	2008	
AHMAD	1956		AHMAD, ASIF A., C.M.G.	Head of South-East Asia and Pacific Department	Foreign and Commonwealth Office	2008	2010	
AHMAD	1956		AHMAD, ASIF A., C.M.G.	Ambassador	Thailand	2010	2012	
AHMAD	1956		AHMAD, ASIF A., C.M.G.	Ambassador	Philippines	2013	2017	
AHMAD	1956		AHMAD, ASIF A., C.M.G.	High Commissioner	Jamaica	2017		
AIERS	1922	1983	AIERS, DAVID P., C.M.G.	Counsellor and Head of Chancery	Far East Command	1965	1968	
AIERS	1922	1983	AIERS, DAVID P., C.M.G.	Head of South-West Pacific Department	Foreign and Commonwealth Office	1968	1971	
AIERS	1922	1983	AIERS, DAVID P., C.M.G.	Deputy High Commissioner	Australia	1971	1976	
AIERS	1922	1983	AIERS, DAVID P., C.M.G.	High Commissioner	Sri Lanka	1976	1979	
AIERS	1922	1983	AIERS, DAVID P., C.M.G.	High Commissioner	Malta	1979	1982	
AINSLIE			AINSLIE, SIR ROBERT, BT. (c.1730-1812)	Ambassador	Turkey	1775	1794	
AIREY			AIREY, KATE, O.B.E.	High Commissioner	Namibia	2018		
ALBAN			ALBAN, ARTHUR D., O.B.E.	Consul-General	Alexandria	1919	1924	
ALBAN			ALBAN, Major REGINALD G.E.W., O.B.E.	Counsellor	Afghanistan	1939	1940	
